Following,Followers,Jumlah tweet,Temp,K
344,504,25300,Plegmatis,3
371,3941,11600,Melankolis,3
426,210,1170,Melankolis,0
212,218,2068,Melankolis,2
373,424,21600,Plegmatis,2
328,176,1886,Plegmatis,2
498,369,8784,Plegmatis,0
170,274,1807,Sanguinis,1
257,65,3084,Plegmatis,3
210,161,9436,Melankolis,3
51,35,442,Melankolis,1
256,411,3724,Plegmatis,2
539,215,1220,Koleris,3
105,17,86,Plegmatis,3
101,32,496,Melankolis,0
379,264,3682,Plegmatis,2
94,139,133,Melankolis,3
79,57,706,Plegmatis,1
38,30,52,Plemgatis,1
91,59,225,Sanguinis,2
30,21,83,Koleris,1
226,71,797,Sanguinis,1
46,3,46,Sanguinis,1
159,62,2791,Plegmatis,2
264,174981,5756,Sanguinis,3
52,13,416,Koleris,1
158,61,371,Melankolis,3
179,203,4680,Plegmatis,1
65,99,243,Melankolis,1
624,435,47200,Sanguinis,0
687,300,642,Melankolis,1
126,50,763,Plegmatis,1
251,241,1879,Melankolis,2
15,10,1,Koleris,3
314,315,842,Sanguinis,3
63,35,572,Plegmatis,0
84,6,212,Melankolis,0
396,356,15500,Melankolis,3
241,653,10500,Melankolis,3
16,8,60,Plegmatis,0
234,56,1184,Melankolis,0
203,202,14000,Sanguinis,2
351,283,6081,Sanguinis,0
14,6,24,Koleris,0
149,290,13400,Melankolis,0
390,381,207,Melankolis,0
440,283,14200,Melankolis,3
90,79,129,Sanguinis,3
215,283,3816,Sanguinis,3
91,111,399,Plegmatis,0
121,123,3555,Koleris,1
150,103,22247,Melankolis,3
1594,869,12700,Melankolis,1
548,517,12100,Koleris,3
48,3,2,Plegmatis,0
70,20,26,Koleris,3
144,200,2204,Plegmatis,1
57,132,587,Sanguinis,1
49,28,415,Plegmatis,0
145,69,989,Sanguinis,3
106,41,725,Plegmatis,2
345,671,26300,Melankolis,2
412,364,8579,Sanguinis,2
2305,2727,112200,Melankolis,0
174,183,1277,Plegmatis,3
372,797,18400,Sanguinis,0
221,271,13000,Melankolis,0
290,310,5969,Melankolis,2
63,18,1146,Sanguinis,2
184,170,1687,Melankolis,3
230,240,1941,Plegmatis,1
76,3,196,Melankolis,0
69,64,1,Melankolis,2
189,197,5775,Koleris,2
194,65,534,Koleris,0
127,249,995,Melankolis,0
290,266,267,Koleris,0
331,374,14500,Melankolis,2
333,616,6596,Plegmatis,1
38,10,227,Plegmatis,1
31,11,538,Plegmatis,1
86,116,809,Melankolis,0
